,video,face,chunk,cluster
0,mulebpmvzo.mp4,/kaggle/working/faces/mulebpmvzo.jpg,34,0
1,lbqfkivkqr.mp4,/kaggle/working/faces/lbqfkivkqr.jpg,34,0
2,ndpytliklg.mp4,/kaggle/working/faces/ndpytliklg.jpg,34,1
3,nrherwjzle.mp4,/kaggle/working/faces/nrherwjzle.jpg,34,1
4,ntttcqmyjm.mp4,/kaggle/working/faces/ntttcqmyjm.jpg,34,0
5,cxjumzfmqd.mp4,/kaggle/working/faces/cxjumzfmqd.jpg,34,0
6,wumohkrqpa.mp4,/kaggle/working/faces/wumohkrqpa.jpg,34,1
7,qrpoyppdgo.mp4,/kaggle/working/faces/qrpoyppdgo.jpg,34,0
8,lxsqpdmxli.mp4,/kaggle/working/faces/lxsqpdmxli.jpg,34,1
9,kkgybvbosw.mp4,/kaggle/working/faces/kkgybvbosw.jpg,34,0
10,qygvqadqzp.mp4,/kaggle/working/faces/qygvqadqzp.jpg,34,1
11,xzdjfhcvms.mp4,/kaggle/working/faces/xzdjfhcvms.jpg,34,0
12,fxyzxptcwb.mp4,/kaggle/working/faces/fxyzxptcwb.jpg,34,0
13,wpwipnpdmz.mp4,/kaggle/working/faces/wpwipnpdmz.jpg,34,0
14,krmuzpxnbu.mp4,/kaggle/working/faces/krmuzpxnbu.jpg,34,1
15,ynvppidwwa.mp4,/kaggle/working/faces/ynvppidwwa.jpg,34,0
16,gncfjnpreo.mp4,/kaggle/working/faces/gncfjnpreo.jpg,34,1
17,arrpqqfiah.mp4,/kaggle/working/faces/arrpqqfiah.jpg,34,1
18,xjhdzhgkno.mp4,/kaggle/working/faces/xjhdzhgkno.jpg,34,0
19,rhylsjrigb.mp4,/kaggle/working/faces/rhylsjrigb.jpg,34,0
20,eappwiyrnd.mp4,/kaggle/working/faces/eappwiyrnd.jpg,34,1
21,oehzwrrhve.mp4,/kaggle/working/faces/oehzwrrhve.jpg,34,0
22,azjihuumrm.mp4,/kaggle/working/faces/azjihuumrm.jpg,34,1
23,sqmocpagkn.mp4,/kaggle/working/faces/sqmocpagkn.jpg,34,0
24,wleacnohno.mp4,/kaggle/working/faces/wleacnohno.jpg,34,0
25,miysdgsjvp.mp4,/kaggle/working/faces/miysdgsjvp.jpg,34,0
26,skhnvzyukn.mp4,/kaggle/working/faces/skhnvzyukn.jpg,34,1
27,ejvzniiwbq.mp4,/kaggle/working/faces/ejvzniiwbq.jpg,34,0
28,shjpuxwkos.mp4,/kaggle/working/faces/shjpuxwkos.jpg,34,1
29,lcdguqhxtb.mp4,/kaggle/working/faces/lcdguqhxtb.jpg,34,0
30,uopfswyygk.mp4,/kaggle/working/faces/uopfswyygk.jpg,34,0
31,xuxkfhqjiu.mp4,/kaggle/working/faces/xuxkfhqjiu.jpg,34,0
32,nibfaulvut.mp4,/kaggle/working/faces/nibfaulvut.jpg,34,0
33,xlyxbyhjsq.mp4,/kaggle/working/faces/xlyxbyhjsq.jpg,34,0
34,tocsinrihd.mp4,/kaggle/working/faces/tocsinrihd.jpg,34,0
35,iaqtariies.mp4,/kaggle/working/faces/iaqtariies.jpg,34,0
36,musshonidg.mp4,/kaggle/working/faces/musshonidg.jpg,34,0
37,xcmrmucmvt.mp4,/kaggle/working/faces/xcmrmucmvt.jpg,34,1
38,xcqcjvdrse.mp4,/kaggle/working/faces/xcqcjvdrse.jpg,34,0
39,albqnixkfe.mp4,/kaggle/working/faces/albqnixkfe.jpg,34,1
40,ejnrxekehh.mp4,/kaggle/working/faces/ejnrxekehh.jpg,34,1
41,akxomzlrls.mp4,/kaggle/working/faces/akxomzlrls.jpg,34,0
42,pnwcqjdtld.mp4,/kaggle/working/faces/pnwcqjdtld.jpg,34,0
43,fszstnqlle.mp4,/kaggle/working/faces/fszstnqlle.jpg,34,0
44,pnpalkrznu.mp4,/kaggle/working/faces/pnpalkrznu.jpg,34,0
45,ictedxrvpq.mp4,/kaggle/working/faces/ictedxrvpq.jpg,34,0
46,hmpbhblarx.mp4,/kaggle/working/faces/hmpbhblarx.jpg,34,1
47,eirqkmkeaz.mp4,/kaggle/working/faces/eirqkmkeaz.jpg,34,1
48,ggoodqnnlx.mp4,/kaggle/working/faces/ggoodqnnlx.jpg,34,1
49,wmqesoefak.mp4,/kaggle/working/faces/wmqesoefak.jpg,34,1
50,vpgapvachm.mp4,/kaggle/working/faces/vpgapvachm.jpg,34,1
51,ygxwrhaese.mp4,/kaggle/working/faces/ygxwrhaese.jpg,34,1
52,jcfhtypqnv.mp4,/kaggle/working/faces/jcfhtypqnv.jpg,34,0
53,twmrqnzndg.mp4,/kaggle/working/faces/twmrqnzndg.jpg,34,1
54,pkvcqzjsim.mp4,/kaggle/working/faces/pkvcqzjsim.jpg,34,1
55,abyrwifdfe.mp4,/kaggle/working/faces/abyrwifdfe.jpg,34,1
56,mmfdbsospc.mp4,/kaggle/working/faces/mmfdbsospc.jpg,34,0
57,bbsabvrpih.mp4,/kaggle/working/faces/bbsabvrpih.jpg,34,0
58,rjagsjwajb.mp4,/kaggle/working/faces/rjagsjwajb.jpg,34,0
59,jcjkirwykv.mp4,/kaggle/working/faces/jcjkirwykv.jpg,34,1
60,qsffbtclsl.mp4,/kaggle/working/faces/qsffbtclsl.jpg,34,0
61,rpqmboxhri.mp4,/kaggle/working/faces/rpqmboxhri.jpg,34,1
62,tneevrdiwb.mp4,/kaggle/working/faces/tneevrdiwb.jpg,34,0
63,sswhprisha.mp4,/kaggle/working/faces/sswhprisha.jpg,34,0
64,ktnaytdfst.mp4,/kaggle/working/faces/ktnaytdfst.jpg,34,1
65,fokzwocift.mp4,/kaggle/working/faces/fokzwocift.jpg,34,0
66,htgyfaawpd.mp4,/kaggle/working/faces/htgyfaawpd.jpg,34,1
67,nlixkyvunj.mp4,/kaggle/working/faces/nlixkyvunj.jpg,34,0
68,gislivuscz.mp4,/kaggle/working/faces/gislivuscz.jpg,34,0
69,rjltfcozac.mp4,/kaggle/working/faces/rjltfcozac.jpg,34,0
70,fbxnmuhsum.mp4,/kaggle/working/faces/fbxnmuhsum.jpg,34,0
71,qdtdrgztgu.mp4,/kaggle/working/faces/qdtdrgztgu.jpg,34,1
72,bteafrnibw.mp4,/kaggle/working/faces/bteafrnibw.jpg,34,2
73,rteyekiwdy.mp4,/kaggle/working/faces/rteyekiwdy.jpg,34,2
74,cdighgiscm.mp4,/kaggle/working/faces/cdighgiscm.jpg,34,2
75,kiroxdavqf.mp4,/kaggle/working/faces/kiroxdavqf.jpg,34,2
76,omgkxzclff.mp4,/kaggle/working/faces/omgkxzclff.jpg,34,3
77,iyewtthlmb.mp4,/kaggle/working/faces/iyewtthlmb.jpg,34,2
78,pgnlzgbcxo.mp4,/kaggle/working/faces/pgnlzgbcxo.jpg,34,2
